"CARDS_name","CARDS_url","CARDS_selection1"
"2017 Patrick Mahomes II #327 Panini Donruss Rated Rookie Rookie Card RC PSA 9","https://www.ebay.com/itm/2017-Patrick-Mahomes-II-327-Panini-Donruss-Rated-Rookie-Rookie-Card-RC-PSA-9/224307364569?hash=item3439c2c2d9:g:yLgAAOSwtDNf7N8o","$430.00"
"2017 Donruss Rated Rookie #327 Patrick Mahomes II RC Chiefs PSA 9 MINT","https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-327-Patrick-Mahomes-II-RC-Chiefs-PSA-9-MINT/383891574202?hash=item5961b88dba:g:PZQAAOSwo79f9hIq","$405.00"
"2017 Panini Donruss Rated Rookie #327 PATRICK MAHOMES Rookie PSA 9 Chiefs","https://www.ebay.com/itm/2017-Panini-Donruss-Rated-Rookie-327-PATRICK-MAHOMES-Rookie-PSA-9-Chiefs/124526430507?hash=item1cfe5a892b:g:b3YAAOSwZUNf9L4f","$300.00"
"2017 Patrick Mahomes II #327 Panini Donruss Rated Rookie Rookie Card RC PSA 9","https://www.ebay.com/itm/2017-Patrick-Mahomes-II-327-Panini-Donruss-Rated-Rookie-Rookie-Card-RC-PSA-9/224301372522?hash=item343967546a:g:1gkAAOSwelFf7N6q","$450.00"
"PATRICK MAHOMES 2017 Donruss Rated Rookie ***PSA 9 Mint*** RC CHIEFS","https://www.ebay.com/itm/PATRICK-MAHOMES-2017-Donruss-Rated-Rookie-PSA-9-Mint-RC-CHIEFS/353351311961?hash=item5245612259:g:0VMAAOSwS0Jf~eL9","$495.00"
"2017 Donruss Rated Rookie #327 Patrick Mahomes II RC Rookie Chiefs PSA 9 MINT!!","https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-327-Patrick-Mahomes-II-RC-Rookie-Chiefs-PSA-9-MINT/184618190844?hash=item2afc1a07fc:g:ePgAAOSwbYJf~Yoq","$439.99"
"2017 Panini Donruss Rated Rookie #327 PATRICK MAHOMES Rookie PSA 9 Chiefs","https://www.ebay.com/itm/2017-Panini-Donruss-Rated-Rookie-327-PATRICK-MAHOMES-Rookie-PSA-9-Chiefs/124515189430?hash=item1cfdaf02b6:g:b3YAAOSwZUNf9L4f","$380.00"
"2017 Donruss Patrick Mahomes II RC Rated Rookie #327 PSA 9","https://www.ebay.com/itm/2017-Donruss-Patrick-Mahomes-II-RC-Rated-Rookie-327-PSA-9/293941411662?hash=item447045ff4e:g:wf0AAOSwtGhf88gU","$355.00"
"2017 Panini Donruss #327 Patrick Mahomes II PSA 9 Chiefs Rated Rookie🔥📈🔥 MVP","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-PSA-9-Chiefs-Rated-Rookie-MVP/333844263797?hash=item4dbaab3375:g:dOYAAOSwZgZf787b","$438.95"
"2017 Panini Donruss #327 Patrick Mahomes II PSA 9 Chiefs Rated Rookie🔥📈🔥 MVP","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-PSA-9-Chiefs-Rated-Rookie-MVP/333844261363?hash=item4dbaab29f3:g:HbcAAOSwOghf780R","$442.21"
"HOT REPACK (2) 2017 Mahomes Donruss Rated Rookie PSA 9 50 PACK REPACK!! WOW!!","https://www.ebay.com/itm/HOT-REPACK-2-2017-Mahomes-Donruss-Rated-Rookie-PSA-9-50-PACK-REPACK-WOW/264990237990?hash=item3db2a62526:g:KZwAAOSwLYBf51Hc","$25.99"
