"selection1_name","selection1_url","selection1_selection2"
"2018 Topps Update Ronald Acuna Rookie Card #US250 Braves RC","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Rookie-Card-US250-Braves-RC/133633781866?hash=item1f1d31b06a:g:cUcAAOSwr5pf-2I1","$55.00"
"2018 Topps Update Ronald Acuna Jr RC Rookie #US250 Graded GMA 10 GEM MT","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-RC-Rookie-US250-Graded-GMA-10-GEM-MT/274642341292?hash=item3ff1f58dac:g:JKQAAOSwiJRf-gtx","$99.99"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves/363256285426?hash=item5493c308f2:g:WboAAOSw8ydf~fIn","$50.00"
"2018 Topps Update Ronald Acuna Jr. RC US250 Atlanta Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-RC-US250-Atlanta-Braves/284138963423?hash=item42280081df:g:f~YAAOSwIjdf9RNp","$62.59"
"2018 Topps Update RONALD ACUNA JR. Rookie RC #US250 Atlanta Braves Bat up","https://www.ebay.com/itm/2018-Topps-Update-RONALD-ACUNA-JR-Rookie-RC-US250-Atlanta-Braves-Bat-up/383895220277?hash=item5961f03035:g:kzYAAOSw31Nf-Rfq","$50.94"
"RONALD ACUNA JR. 2018 Topps Update ROOKIE RC Atlanta Braves #US-250","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-Topps-Update-ROOKIE-RC-Atlanta-Braves-US-250/303836942375?hash=item46be17d027:g:rdkAAOSwKcZf9Kzc","$47.00"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves L32","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-L32/124517414562?hash=item1cfdd0f6a2:g:-igAAOSw3fFf9nF8","$52.00"
"2018 Topps Update Ronald Acuna Jr. US250 SGC 9 Rookie RC Atlanta Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-US250-SGC-9-Rookie-RC-Atlanta-Braves/392967275686?hash=item5b7eacc4a6:g:1~EAAOSwS-xfeNvj","$49.99"
"2018 Topps Update US250 Ronald Acuna JR RC SGC 9.5","https://www.ebay.com/itm/2018-Topps-Update-US250-Ronald-Acuna-JR-RC-SGC-9-5/293939944755?hash=item44702f9d33:g:ROwAAOSwmCxf8k8R","$75.00"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves G62","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-G62/124515716009?hash=item1cfdb70ba9:g:d8gAAOSwLEdf9SLN","$50.00"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves/303842873771?hash=item46be7251ab:g:010AAOSwVJZf-6FZ","$48.00"
"RONALD ACUNA JR 2018 TOPPS UPDATE RC #US250 ATLANTA BRAVES 💥","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-TOPPS-UPDATE-RC-US250-ATLANTA-BRAVES/383897737417?hash=item59621698c9:g:MeUAAOSw15pf-6LI","$39.99"
"2018 Topps Update Ronald Acuna Jr. US250 Rookie RC Atlanta Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-US250-Rookie-RC-Atlanta-Braves/324440872665?hash=item4b8a2ed6d9:g:8f8AAOSwtCBf8muV","$63.00"
"RONALD ACUNA JR 2018 TOPPS UPDATE RC #US250 ATLANTA BRAVES 💥","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-TOPPS-UPDATE-RC-US250-ATLANTA-BRAVES/284136763472?hash=item4227def050:g:fZYAAOSwLq1f8Lo4","$51.00"
"RONALD ACUNA JR. 2018 Topps Update ROOKIE RC Atlanta Braves #US-250","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-Topps-Update-ROOKIE-RC-Atlanta-Braves-US-250/383887229909?hash=item59617643d5:g:J00AAOSwnrNf8jFz","$61.00"
"2018 Topps Update Ronald Acuna Jr. Rookie RC #US250 Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-RC-US250-Braves/184613260352?hash=item2afbcecc40:g:6yQAAOSwEtdf-OvC","$50.00"
"2018 Topps Update US250 Ronald Acuna JR RC SGC 9.5","https://www.ebay.com/itm/2018-Topps-Update-US250-Ronald-Acuna-JR-RC-SGC-9-5/293939941129?hash=item44702f8f09:g:DsQAAOSw0Ztf8k3u","$75.00"
