"Cards_name","Cards_url","Cards_selection1"
"Stephen Curry 2009 Topps #321 PSA 10 Gem Mint Rookie RC","https://www.ebay.com/itm/Stephen-Curry-2009-Topps-321-PSA-10-Gem-Mint-Rookie-RC/303678394328?hash=item46b4a48fd8:g:q7AAAOSwCj9fVlcl","$7,399.99"
"Stephen Curry 2009 Topps #321 PSA 10 Gem Mint Rookie RC","https://www.ebay.com/itm/Stephen-Curry-2009-Topps-321-PSA-10-Gem-Mint-Rookie-RC/284136523460?hash=item4227db46c4:g:Rz4AAOSwy~Jf8hVG","$6,779.00"
"2009 Topps Basketball Stephen Curry ROOKIE RC #321 PSA 10 GEM MINT","https://www.ebay.com/itm/2009-Topps-Basketball-Stephen-Curry-ROOKIE-RC-321-PSA-10-GEM-MINT/224292336089?hash=item3438dd71d9:g:ck8AAOSweR9f5Vf2","$5,325.00"
"2009 Topps Stephen Curry #321 rc PSA 10-Rare Item","https://www.ebay.com/itm/2009-Topps-Stephen-Curry-321-rc-PSA-10-Rare-Item/184547006081?hash=item2af7dbd681:g:ycgAAOSwyjlfTrXr","$6,500.00"
"2009 Topps Stephen Curry #321 rc PSA 10-Rare Item","https://www.ebay.com/itm/2009-Topps-Stephen-Curry-321-rc-PSA-10-Rare-Item/184567504120?hash=item2af9149cf8:g:qnsAAOSw3zJfvqeM","$4,500.00"
"2009 Topps Stephen Curry #321 rc PSA 10-Rare Item","https://www.ebay.com/itm/2009-Topps-Stephen-Curry-321-rc-PSA-10-Rare-Item/184553555779?hash=item2af83fc743:g:qnsAAOSw3zJfvqeM","$5,500.00"
"2009-10 Topps #321 Stephen Curry RC Rookie Golden State Warriors BCCG 10 PSA10?","https://www.ebay.com/itm/2009-10-Topps-321-Stephen-Curry-RC-Rookie-Golden-State-Warriors-BCCG-10-PSA10/193722087427?hash=item2d1abc7803:g:478AAOSwFRpfk7-0","$830.00"
