Card Title,URL,Price,Player,Grade
Patrick Mahomes II 2017 Panini Donruss Rated Rookie Card #327 10??,https://www.ebay.com/itm/Patrick-Mahomes-II-2017-Panini-Donruss-Rated-Rookie-Card-327-10/233861482268?hash=item36733b071c:g:pywAAOSwK-xgApql,$307.77,Mahommes,0
2017 donruss patrick mahomes rated rookie 327,https://www.ebay.com/itm/2017-donruss-patrick-mahomes-rated-rookie-327/174589797610?hash=item28a65ce4ea:g:ffIAAOSwmLNf-kCN,$230.51,Mahommes,0
2017 donruss patrick mahomes rated rookie 327,https://www.ebay.com/itm/2017-donruss-patrick-mahomes-rated-rookie-327/174589790307?hash=item28a65cc863:g:aoIAAOSwS4Ff-j7E,$227.50,Mahommes,0
2017 DONRUSS PATRICK MAHOMES II RC RATED ROOKIE #327 GRADED SGC 9 MINT CHIEFS!,https://www.ebay.com/itm/2017-DONRUSS-PATRICK-MAHOMES-II-RC-RATED-ROOKIE-327-GRADED-SGC-9-MINT-CHIEFS/143913797446?hash=item2181ee4746:g:FSUAAOSwpMpf-jvP,$255.00,Mahommes,0
2017 Donruss Patrick Mahomes ll Rated Rookie TRUE ROOKIE CARD #327 - Chiefs 🔥💎,https://www.ebay.com/itm/2017-Donruss-Patrick-Mahomes-ll-Rated-Rookie-TRUE-ROOKIE-CARD-327-Chiefs/373429692523?hash=item56f224e86b:g:QRsAAOSwZcRf3ZyX,$278.00,Mahommes,0
2017 Donruss Rated Rookie Patrick Mahomes Card Number#327 In Magnetic Case,https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-Patrick-Mahomes-Card-Number-327-In-Magnetic-Case/233862066897?hash=item367343f2d1:g:9owAAOSwvHJgAruB,$200.00,Mahommes,0
2017 Donruss Rated Rookie Patrick Mahomes Card Number#327 In Magnetic Case,https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-Patrick-Mahomes-Card-Number-327-In-Magnetic-Case/233861560865?hash=item36733c3a21:g:9owAAOSwvHJgAruB,$200.00,Mahommes,0
2017 Panini Donruss Patrick Mahomes II Rated Rookie #327 Chiefs !! LQQK WOW !,https://www.ebay.com/itm/2017-Panini-Donruss-Patrick-Mahomes-II-Rated-Rookie-327-Chiefs-LQQK-WOW/164645127332?hash=item26559d44a4:g:oc4AAOSwK05gALlM,$200.00,Mahommes,0
2017 donruss patrick mahomes rated rookie 327,https://www.ebay.com/itm/2017-donruss-patrick-mahomes-rated-rookie-327/193851310033?hash=item2d22703fd1:g:CQ8AAOSw-PNgAgaq,$275.00,Mahommes,0
KANSAS CITY CHIEFS TEAM SET 2017 Donruss No Mahomes. Hunt Rated Rookie 10 Cards,https://www.ebay.com/itm/KANSAS-CITY-CHIEFS-TEAM-SET-2017-Donruss-No-Mahomes-Hunt-Rated-Rookie-10-Cards/383099162387?hash=item59327d4f13:g:824AAOSw9AxdUI1z,$4.99,Mahommes,0
PATRICK MAHOMES KC Chiefs 2017 Panini Donruss Rated Rookie Card #327!!!,https://www.ebay.com/itm/PATRICK-MAHOMES-KC-Chiefs-2017-Panini-Donruss-Rated-Rookie-Card-327/184613048818?hash=item2afbcb91f2:g:QkEAAOSwoLxf-LWZ,$275.00,Mahommes,0
Patrick Mahomes 2017 Donruss #327 Rated Rookie Card. Grade 9/10?! Investment!,https://www.ebay.com/itm/Patrick-Mahomes-2017-Donruss-327-Rated-Rookie-Card-Grade-9-10-Investment/114620616378?hash=item1aafebceba:g:MNMAAOSwIgdf-O47,$275.00,Mahommes,0
2017 Donruss Rated Rookie Patrick Mahomes #327,https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-Patrick-Mahomes-327/265009381528?hash=item3db3ca4098:g:pp0AAOSweHpf-5IO,$232.50,Mahommes,0
